x,y,value
-13169674.1569,4051675.075,65535
-13157164.1569,4063375.075,65535
-13164004.1569,4056745.075,36038
-13158424.1569,4050985.075,36038
-13167394.1569,4060045.075,65535
-13156744.1569,4053745.075,65535
-13160284.1569,4050595.075,36026
-13164694.1569,4053475.075,36038
-13167544.1569,4046095.075,65535
-13162804.1569,4048495.075,154
-13167124.1569,4056985.075,65535
-13158874.1569,4061965.075,65535
-13162654.1569,4055305.075,154
-13163044.1569,4047325.075,154
-13158874.1569,4055155.075,65535
-13161394.1569,4052485.075,36024
-13164424.1569,4058515.075,36048
-13165384.1569,4052695.075,36024
-13164784.1569,4059145.075,154
-13166374.1569,4057285.075,36038
-13163374.1569,4050655.075,154
-13161304.1569,4063075.075,65535
-13166404.1569,4061635.075,65535
-13158214.1569,4049125.075,35988
-13157614.1569,4061455.075,65535
-13167484.1569,4051255.075,154
-13166224.1569,4054435.075,36038
-13156324.1569,4059505.075,65535
-13157044.1569,4046725.075,65535
-13157074.1569,4053145.075,65535
-13166824.1569,4047445.075,65535
-13161754.1569,4046725.075,65535
-13163764.1569,4055905.075,36011
-13163704.1569,4045075.075,154
-13161124.1569,4054825.075,154
-13161724.1569,4057345.075,65535
-13163674.1569,4046605.075,154
-13165774.1569,4057915.075,36038
-13164604.1569,4050865.075,154
-13169494.1569,4045705.075,65535
-13167274.1569,4048195.075,65535
-13156984.1569,4049845.075,35989
-13164574.1569,4064125.075,65535
-13169134.1569,4049995.075,65535
-13156084.1569,4046455.075,65535
-13162114.1569,4056745.075,154
-13164364.1569,4053985.075,36038
-13164754.1569,4048315.075,154
-13165594.1569,4061665.075,65535
-13163704.1569,4049215.075,154
-13160194.1569,4060405.075,65535
-13165564.1569,4059025.075,65535
-13160374.1569,4061365.075,65535
-13166044.1569,4052485.075,154
-13166374.1569,4063045.075,65535
-13164964.1569,4064155.075,65535
-13158124.1569,4061935.075,65535
-13159384.1569,4059475.075,65535
-13168024.1569,4053625.075,65535
-13166734.1569,4048975.075,65535
-13169854.1569,4061815.075,65535
-13168654.1569,4057165.075,65535
-13156864.1569,4061845.075,65535
-13156834.1569,4057825.075,65535
-13159954.1569,4045735.075,65535
-13163794.1569,4048105.075,154
-13161694.1569,4061275.075,65535
-13157944.1569,4059055.075,65535
-13167424.1569,4049695.075,65535
-13160554.1569,4049065.075,36040
-13168324.1569,4045375.075,65535
-13169434.1569,4057855.075,65535
-13164454.1569,4058545.075,36038
-13157254.1569,4054765.075,65535
-13168804.1569,4060765.075,65535
-13163404.1569,4059745.075,154
